original name,osm_id,type,lat,lon,dist_bus,dist_metro,dist_schools,dist_uni
10th & U St NW,2276095561,bicycle_rental,38.917199700000005,-77.0259,1.1248184645311985,0.1401940716186431,0.04125741376773532,0.6386180368432783
19th St & Constitution Ave NW,6054111,house,38.89199770757314,-77.01097833838901,0.1415640556729876,0.6697538159238664,0.969805001814343,0.6514357754900706
C & O Canal & Wisconsin Ave NW,2276095617,bicycle_rental,38.903749700000006,-77.06269,0.8141390875965577,1.118595369311771,0.5012269624358912,1.2107471526625553
Powhatan St & Bashford Ln,6285398192,bicycle_rental,38.8187558,-77.0477853,2.6728439936894537,0.7228138208195015,3.2063977727334403,6.041177589232199
3rd & M St NE,6285398272,bicycle_rental,38.9054778,-77.0021323,0.8384278602949793,0.1882260093658976,0.5671719502953531,0.9086362991609415
Washington Blvd & 10th St N,2276095829,bicycle_rental,38.884733700000005,-77.093485,4.069123885007462,0.2752573133890369,3.6044528419672033,3.138497738659323
14th & V St NW,2276095581,bicycle_rental,38.917599700000004,-77.0321,0.9072050159407459,0.404432284006102,0.5091718240978733,0.85862522739365
11th & Park Rd NW,6285398402,bicycle_rental,38.931657799999996,-77.0283073,0.9273648859986904,0.5609965264327946,0.2895252959216167,1.3118889475586164
3rd & G St SE,2275495840,bicycle_rental,38.8811847,-77.001828,0.5217065818918696,0.5183967611143887,0.403558100380104,1.0230324056338638
Greensboro & International Dr,6285398476,bicycle_rental,38.9230908,-77.2274194,15.230806034583273,0.5621097789633246,11.011346366346743,11.74808508744467
Adams Mill & Columbia Rd NW,2276095837,bicycle_rental,38.923044399999995,-77.04255529999999,0.6368457669425738,0.8851952505775046,0.33977374014431605,0.7057995066845946
Lee Hwy & N Monroe St,18538583,residential,38.89636,-77.10464,4.526003369328587,1.337967226052075,3.3990395691745174,2.675564789626142
Rosedale Rec Center / 17th & Gales St NE,6285398388,bicycle_rental,38.8978158,-76.9796363,2.2541028709513107,1.2517587720526306,0.28773298138918524,1.5816223334167374
Van Ness Metro / UDC,2276095472,bicycle_rental,38.9445507,-77.063896,3.124102365919986,0.16219404006404545,0.8175347962514445,0.17631728186106838
20th & O St NW / Dupont South,2276095973,bicycle_rental,38.9089047,-77.04478,0.08018710433986108,0.1415702555077135,0.5893328972284795,0.32538516658049477
Wisconsin Ave & Ingomar St NW,6285398211,bicycle_rental,38.9582748,-77.0846383,4.962935956101533,0.13864380402758572,1.0122212823730872,0.9958241200762025
Potomac Greens Dr & Slaters Ln,0,,38.82168,-77.04759,2.624976468964292,0.9885880830051048,3.0987933852321556,5.750182962127215
11th & H St NE,2276094819,bicycle_rental,38.8999827,-76.991383,1.463922034763113,1.276898778257738,0.30990169415770275,0.9068960566765845
Columbus Ave & Tribeca St,0,,39.12596,-77.16728,21.681393083248334,0.7070425962507345,19.476638382358615,20.106620757583322
2nd St & Seaton Pl NE,6285398227,bicycle_rental,38.9147588,-77.0035623,1.40993376909582,0.8599437046638203,0.07132759518783995,1.2288188090673706
California St & Florida Ave NW,2276095838,bicycle_rental,38.9177607,-77.04061999999999,0.9679114607744456,0.9372330436706916,0.1512607325711291,0.5847563429759285
Fenton St & Ellsworth Dr ,6285398636,bicycle_rental,38.9970408,-77.0256103,3.7009538797912485,0.5803746899868941,1.5595554762793118,2.3147286522965738
13th St & Eastern Ave,6285398263,bicycle_rental,38.9870078,-77.0294193,2.585996506710485,0.7838548990641403,0.4776657284837914,1.1559799416106358
Citadel Ave & McGrath Blvd,6285398437,bicycle_rental,39.0490078,-77.10933229999999,11.809059927239323,0.3172850753299269,9.678725899800074,10.260832152069124
Bladensburg Rd & Benning Rd NE,2276094894,bicycle_rental,38.900412700000004,-76.982872,2.1428172376710513,1.6010005941691277,0.3362990246966068,1.179281840956804
Takoma Park Rec Center,6285398467,bicycle_rental,38.9826578,-76.98831329999999,3.6989483255323448,2.6887706664140794,2.7099846542813286,4.042578487712181
Lynn & 19th St North,2276095582,bicycle_rental,38.8973147,-77.070993,1.6875847348316768,0.14757753626232095,1.3143645244238837,1.34136379867367
